id,name,applicability
tag_tx,TX,taxes
tag_im,IM,taxes
tag_is,IS,taxes
tag_bl,BL,taxes
tag_nr,NR,taxes
tag_zp,ZP,taxes
tag_ep,EP,taxes
tag_op,OP,taxes
tag_e43,TX-E43,taxes
tag_n43,TX-N43,taxes
tag_re,TX-RE,taxes
tag_gp,GP,taxes
tag_ajp,AJP,taxes
tag_sr,SR,taxes
tag_zrl,ZRL,taxes
tag_zre,ZRE,taxes
tag_es43,ES43,taxes
tag_ds,DS,taxes
tag_os,OS,taxes
tag_es,ES,taxes
tag_rs,RS,taxes
tag_gs,GS,taxes
tag_ajs,AJS,taxes
