id,code,name,user_type_id/id,reconcile,chart_template_id:id
501024,501024,Taxes paid,account.data_account_type_expenses,False,l10n_my
501025,501025,Travel,account.data_account_type_expenses,False,l10n_my
501026,501026,Travel meals,account.data_account_type_expenses,False,l10n_my
501027,501027,Utilities,account.data_account_type_expenses,False,l10n_my
501028,501028,Unapplied cash bill payment expense,account.data_account_type_expenses,False,l10n_my
502001,502001,Amortisation,account.data_account_type_expenses,False,l10n_my
502002,502002,Depreciation,account.data_account_type_expenses,False,l10n_my
502003,502003,Exchange Gain or Loss,account.data_account_type_expenses,False,l10n_my
502004,502004,Other Expense,account.data_account_type_expenses,False,l10n_my
502005,502005,Penalties and settlements,account.data_account_type_expenses,False,l10n_my
